start_node,end_node,start_lon_deg,start_lat_deg,end_lon_deg,end_lat_deg,start_ground_elev_m,end_ground_elev_m,horizontal_distance_m,max_terrain_elev_m,max_terrain_lon_deg,max_terrain_lat_deg,cruise_altitude_m,start_work_altitude_m,end_work_altitude_m,climb_height_m,descent_height_m,model_id,payload_kg,climb_time_s,cruise_time_s,descent_time_s,total_time_s,equivalent_range_m,horizontal_energy_kwh,climb_energy_kwh,total_energy_kwh,energy_formula_status
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,B,0.0,102.64551188151042,318.9663234429087,33.61461425781249,455.22644958223157,28000.0,0.6834992645205186,0.07572865693406589,0.7592279214545845,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,B,0.0,148.03308512369793,400.6255314413527,38.9197021484375,587.5783187134881,28000.0,0.8584832816600414,0.10921419273708369,0.9676974743971251,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,B,15.0,48.452203369140626,203.59858956789998,35.62264404296875,287.67343698000934,23757.359312880715,0.5141950000920683,0.04399572223796138,0.5581907223300296,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,B,15.0,144.70137939453124,484.21195043710003,89.3216552734375,718.2349851050687,23757.359312880715,1.2228933630041223,0.13139220205920182,1.354285565063324,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,B,15.0,102.64551188151042,318.9663234429087,33.61461425781249,455.22644958223157,23757.359312880715,0.8055600437123637,0.09320450084192723,0.8987645445542909,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,B,15.0,148.03308512369793,400.6255314413527,38.9197021484375,587.5783187134881,23757.359312880715,1.0117930856670818,0.13441746798410298,1.1462105536511848,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S001,109.2308517,23.0085095,109.2432319,23.0335927,127.7,154.0,3053.9788435184996,223.05661010742188,109.23867982349049,23.024371057096793,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,B,28.5,48.452203369140626,203.59858956789998,35.62264404296875,287.67343698000934,16888.654446917782,0.7233208194571966,0.05142000036561736,0.774740819822814,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S003,109.2308517,23.0085095,109.1688578,23.0402714,127.7,308.5,7263.1792565565,511.80413818359375,109.20235089521226,23.02311645668715,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,B,28.5,144.70137939453124,484.21195043710003,89.3216552734375,718.2349851050687,16888.654446917782,1.7202505455683703,0.15356463615669214,1.8738151817250626,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S010,109.2308517,23.0085095,109.2760168,23.0194009,127.7,321.6,4784.49485164363,385.63653564453125,109.26879556032667,23.017660508047936,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,B,28.5,102.64551188151042,318.9663234429087,33.61461425781249,455.22644958223157,16888.654446917782,1.1331855635229273,0.10893276035900246,1.2421183238819298,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
O01,S015,109.2308517,23.0085095,109.1923786,23.0494548,127.7,444.5,6009.38297162029,521.7992553710938,109.20159123411872,23.039653305005682,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,B,28.5,148.03308512369793,400.6255314413527,38.9197021484375,587.5783187134881,16888.654446917782,1.4232946717000337,0.15710041570642036,1.580395087406454,公式待人工核对：题面未显式给出水平能耗与爬升能耗分项公式
